Data_e_ora, Capitale, Prezzo_di_acquisto, Exchange_acq, Prezzo_di_vendita, Exchange_ven, Commissioni_acquisto, Commissioni_vendita, Totale_netto_ricavato
2025-01-30 15:56:14.548481, 3000, 131.513, KuCoin, 131.83, Bitfinex, 0.1%, 0.1%, 1.22 USDT
2025-01-30 15:57:09.128380, 3000, 106050.28, Binance, 106300.0, Bitfinex, 0.1%, 0.1%, 1.05 USDT
2025-01-30 15:57:10.117622, 3000, 3274.5, Binance, 3283.1, Bitfinex, 0.1%, 0.1%, 1.87 USDT
2025-01-30 15:57:12.486985, 3000, 3.1177, Binance, 3.1274, Bitfinex, 0.1%, 0.1%, 3.32 USDT
2025-01-30 15:57:14.357806, 3000, 131.226, KuCoin, 131.77, Bitfinex, 0.1%, 0.1%, 6.41 USDT
2025-01-30 15:57:20.575323, 3000, 241.978, KuCoin, 242.89, Bitfinex, 0.1%, 0.1%, 5.29 USDT
2025-01-30 15:57:26.917370, 3000, 131.186, KuCoin, 131.77, Bitfinex, 0.1%, 0.1%, 7.33 USDT
2025-01-30 15:57:38.213501, 3000, 131.188, KuCoin, 131.77, Bitfinex, 0.1%, 0.1%, 7.29 USDT
2025-01-30 15:57:49.677322, 3000, 131.184, KuCoin, 131.77, Bitfinex, 0.1%, 0.1%, 7.38 USDT
2025-01-30 15:58:01.907656, 3000, 131.03, Binance, 131.77, Bitfinex, 0.1%, 0.1%, 10.91 USDT
2025-01-30 15:58:13.321477, 3000, 0.9763, Binance, 0.97998, Bitfinex, 0.1%, 0.1%, 5.29 USDT
2025-01-30 15:58:26.079746, 3000, 130.95, Binance, 131.27, Bitfinex, 0.1%, 0.1%, 1.32 USDT
2025-01-30 15:58:38.186166, 3000, 130.917, KuCoin, 131.27, Bitfinex, 0.1%, 0.1%, 2.08 USDT
2025-01-30 16:00:21.818618, 3000, 241.66, Binance, 242.36, Bitfinex, 0.1%, 0.1%, 2.68 USDT
2025-01-30 16:02:33.258488, 3000, 242.292, KuCoin, 242.87, Bitfinex, 0.1%, 0.1%, 1.15 USDT
2025-01-30 16:02:34.848172, 3000, 3268.37, KuCoin, 3276.8, Bitfinex, 0.1%, 0.1%, 1.73 USDT
2025-01-30 16:02:37.838400, 3000, 0.9823, KuCoin, 0.98568, Bitfinex, 0.1%, 0.1%, 4.31 USDT
2025-01-30 16:02:49.971618, 3000, 0.9827, Binance, 0.98568, Bitfinex, 0.1%, 0.1%, 3.08 USDT
2025-01-30 16:02:58.532761, 3000, 3265.86, KuCoin, 3276.0, Bitfinex, 0.1%, 0.1%, 3.30 USDT
2025-01-30 16:03:01.722372, 3000, 0.9809, KuCoin, 0.98568, Bitfinex, 0.1%, 0.1%, 8.59 USDT
