Data_e_ora,Capitale,Moneta,Prezzo_di_acquisto,Exchange_acq,Prezzo_di_vendita,Exchange_ven,Commissioni_acquisto,Commissioni_vendita,Guadagno_netto
2025-01-30 16:59:52.999857, 3000, PEPEUSDT, 1.314e-05, Binance, 1.314e-05, Binance, 0.1%, 0.1%, -6.00 USDT
2025-01-30 16:59:53.713478, 3000, DOGE-USDT, 0.33642, KuCoin, 0.33646, Binance, 0.1%, 0.1%, -5.64 USDT
2025-01-30 16:59:54.649749, 3000, XRPUSDT, 3.1202, Binance, 3.1226, Bitfinex, 0.1%, 0.1%, -3.69 USDT
2025-01-30 16:59:55.600304, 3000, ADA-USDT, 0.9758, KuCoin, 0.97688, Bitfinex, 0.1%, 0.1%, -2.68 USDT
2025-01-30 16:59:56.922844, 3000, LTC-USDT, 131.131, KuCoin, 131.38, Bitfinex, 0.1%, 0.1%, -0.31 USDT
2025-01-30 17:00:02.791588, 3000, SOL-USDT, 241.12, KuCoin, 241.28, Bitfinex, 0.1%, 0.1%, -4.01 USDT
2025-01-30 17:00:03.681584, 3000, BTCUSDT, 105588.69, Binance, 105630.0, Bitfinex, 0.1%, 0.1%, -4.83 USDT
2025-01-30 17:00:05.416249, 3000, ETH-USDT, 3256.94, KuCoin, 3258.7, Bitfinex, 0.1%, 0.1%, -4.38 USDT
2025-01-30 17:00:06.242605, 3000, PEPE-USDT, 1.315e-05, KuCoin, 1.316e-05, Binance, 0.1%, 0.1%, -3.72 USDT
2025-01-30 17:00:07.402024, 3000, DOGEUSDT, 0.33665, Binance, 0.33668, KuCoin, 0.1%, 0.1%, -5.73 USDT
2025-01-30 17:00:08.210665, 3000, XRPUSDT, 3.1213, Binance, 3.1226, Bitfinex, 0.1%, 0.1%, -4.75 USDT
2025-01-30 17:00:09.740903, 3000, ADA-USDT, 0.9766, KuCoin, 0.97688, Bitfinex, 0.1%, 0.1%, -5.14 USDT
2025-01-30 17:00:11.966633, 3000, LTC-USDT, 131.256, KuCoin, 131.38, Bitfinex, 0.1%, 0.1%, -3.17 USDT
2025-01-30 17:00:18.568690, 3000, SOLUSD, 241.28, Bitfinex, 241.523, KuCoin, 0.2%, 0.1%, -5.98 USDT
2025-01-30 17:00:19.380144, 3000, BTCUSD, 105650.0, Bitfinex, 105669.98, Binance, 0.2%, 0.1%, -8.43 USDT
2025-01-30 17:00:20.314220, 3000, ETH-USDT, 3258.5, KuCoin, 3258.8, Binance, 0.1%, 0.1%, -5.72 USDT
